Week,Day,Topic,Work Due
1,[15-Jan](notes/Jan-15.html),Course intro,WCP 1
2,[18-Jan](notes/Jan-18.html),All about cubies,
2,[20-Jan](notes/Jan-20.html),Challenge Day I,
2,[22-Jan](notes/Jan-22.html),Challenge Day II,WCP 2
3,[25-Jan](notes/Jan-25.html),Notation and Order,
3,[27-Jan](notes/Jan-27.html),Magic Cube Moves I,
3,[29-Jan](notes/Jan-29.html),Magic Cube Moves II,WCP 3
4,[1-Feb](notes/Feb-01.html),Magic Cube Moves III-IV,M4HF Reflection: Chs. 1-5
4,[3-Feb](notes/Feb-03.html),**Reading discussion**; Truth and Inductive Reasoning,
4,[5-Feb](notes/Feb-05.html),**Thematic Checkpoint 1**,**Thematic Checkpoint 1**
5,[8-Feb](notes/Feb-08.html),Axioms,
5,[10-Feb](notes/Feb-10.html),Deductive Reasoning,
5,[12-Feb](notes/Feb-12.html),Formal Logic,WCP 4
6,15-Feb,**No class**,
6,[17-Feb](notes/Feb-17.html),The Foundational Crisis of Mathematics,
6,[19-Feb](notes/Feb-19.html),Infinity and Incompleteness,M4HF Reflection: Chs. 6-7
7,[22-Feb](notes/Feb-22.html),**Thematic Checkpoint 2**,**Thematic Checkpoint 2**
7,[24-Feb](notes/Feb-24.html),**Reading discussion**; Apportionment I,
7,[26-Feb](notes/Feb-26.html),Apportionment II,WCP 5; Final in-office attempt at Thematic Checkpoint 1
8,[1-Mar](notes/Mar-01.html),Apportionment III,
8,[3-Mar](notes/Mar-03.html),Electoral College I,
8,[5-Mar](notes/Mar-05.html),Electoral College II,WCP 6
9,[8-Mar](notes/Mar-08.html),Electoral College III,
9,[10-Mar](notes/Mar-10.html),Electoral College IV,
9,[12-Mar](notes/Mar-12.html),Math and Democracy Conclusion,WCP 7
10,[15-Mar](notes/Mar-15.html),**Thematic Checkpoint 3**,**Thematic Checkpoint 3**
10,[17-Mar](notes/Mar-17.html),Discrete Dynamical Systems I,
10,[19-Mar](notes/Mar-19.html),Discrete Dynamical Systems II,WCP 8
11,[22-Mar](notes/Mar-22.html),Discrete Dynamical Systems III,M4HF Reflection: Chs. 8-11
11,[24-Mar](notes/Mar-24.html),**Reading discussion**; Discrete Dynamical Systems IV,
11,[26-Mar](notes/Mar-26.html),Discrete Dynamical Systems V,WCP 9
12,[29-Mar](notes/Mar-29.html),Discrete Dynamical Systems VI,
12,[31-Mar](notes/Mar-31.html),Graph Theory I,
12,[2-Apr](notes/Apr-02.html),Graph Theory II,WCP 10
13,[5-Apr](notes/Apr-05.html),Graph Theory III,
13,7-Apr,**No class**,
13,[9-Apr](notes/Apr-09.html),Graph Theory IV,WCP 11
14,[12-Apr](notes/Apr-12.html),Graph Theory V,
14,[14-Apr](notes/Apr-14.html),Graph Theory VI,
14,[16-Apr](notes/Apr-16.html),HT Lab,WCP 12
15,[19-Apr](notes/Apr-19.html),HT Lab,
15,[21-Apr](notes/Apr-21.html),HT Lab,"M4HF Reflection: Chs. 12-13, Epilogue"
15,[23-Apr](notes/Apr-23.html),**Thematic Checkpoint 4**,**Thematic Checkpoint 4**
16,[26-Apr](notes/Apr-26.html),**Reading discussion**; Fractal Geometry I,
16,[28-Apr](notes/Apr-28.html),Fractal Geometry II,
16,[30-Apr](notes/Apr-30.html),Fractal Geometry III,WCP 13
Finals,,Mathematical beauty presentations,